t,plant,axis,phytomer
163.000000,1,MS,3
163.000000,1,MS,4
163.000000,1,MS,5
163.000000,1,MS,6
164.000000,1,MS,1
164.000000,1,MS,2
164.000000,1,MS,3
164.000000,1,MS,4
164.000000,1,MS,5
164.000000,1,MS,6
165.000000,1,MS,1
165.000000,1,MS,2
165.000000,1,MS,3
165.000000,1,MS,4
165.000000,1,MS,5
165.000000,1,MS,6
166.000000,1,MS,1
166.000000,1,MS,2
166.000000,1,MS,3
166.000000,1,MS,4
166.000000,1,MS,5
166.000000,1,MS,6
167.000000,1,MS,1
167.000000,1,MS,2
167.000000,1,MS,3
167.000000,1,MS,4
167.000000,1,MS,5
167.000000,1,MS,6
168.000000,1,MS,1
168.000000,1,MS,2
168.000000,1,MS,3
168.000000,1,MS,4
168.000000,1,MS,5
168.000000,1,MS,6
169.000000,1,MS,1
169.000000,1,MS,2
169.000000,1,MS,3
169.000000,1,MS,4
169.000000,1,MS,5
169.000000,1,MS,6
170.000000,1,MS,1
170.000000,1,MS,2
170.000000,1,MS,3
170.000000,1,MS,4
170.000000,1,MS,5
170.000000,1,MS,6
171.000000,1,MS,1
171.000000,1,MS,2
171.000000,1,MS,3
171.000000,1,MS,4
171.000000,1,MS,5
171.000000,1,MS,6
172.000000,1,MS,1
172.000000,1,MS,2
172.000000,1,MS,3
172.000000,1,MS,4
172.000000,1,MS,5
172.000000,1,MS,6
173.000000,1,MS,1
173.000000,1,MS,2
173.000000,1,MS,3
173.000000,1,MS,4
173.000000,1,MS,5
173.000000,1,MS,6
174.000000,1,MS,1
174.000000,1,MS,2
174.000000,1,MS,3
174.000000,1,MS,4
174.000000,1,MS,5
174.000000,1,MS,6
175.000000,1,MS,1
175.000000,1,MS,2
175.000000,1,MS,3
175.000000,1,MS,4
175.000000,1,MS,5
175.000000,1,MS,6
176.000000,1,MS,1
176.000000,1,MS,2
176.000000,1,MS,3
176.000000,1,MS,4
176.000000,1,MS,5
176.000000,1,MS,6
177.000000,1,MS,1
177.000000,1,MS,2
177.000000,1,MS,3
177.000000,1,MS,4
177.000000,1,MS,5
177.000000,1,MS,6
178.000000,1,MS,1
178.000000,1,MS,2
178.000000,1,MS,3
178.000000,1,MS,4
178.000000,1,MS,5
178.000000,1,MS,6
179.000000,1,MS,1
179.000000,1,MS,2
179.000000,1,MS,3
179.000000,1,MS,4
179.000000,1,MS,5
179.000000,1,MS,6
180.000000,1,MS,1
180.000000,1,MS,2
180.000000,1,MS,3
180.000000,1,MS,4
180.000000,1,MS,5
180.000000,1,MS,6
181.000000,1,MS,1
181.000000,1,MS,2
181.000000,1,MS,3
181.000000,1,MS,4
181.000000,1,MS,5
181.000000,1,MS,6
182.000000,1,MS,1
182.000000,1,MS,2
182.000000,1,MS,3
182.000000,1,MS,4
182.000000,1,MS,5
182.000000,1,MS,6
183.000000,1,MS,1
183.000000,1,MS,2
183.000000,1,MS,3
183.000000,1,MS,4
183.000000,1,MS,5
183.000000,1,MS,6
184.000000,1,MS,1
184.000000,1,MS,2
184.000000,1,MS,3
184.000000,1,MS,4
184.000000,1,MS,5
184.000000,1,MS,6
185.000000,1,MS,1
185.000000,1,MS,2
185.000000,1,MS,3
185.000000,1,MS,4
185.000000,1,MS,5
185.000000,1,MS,6
186.000000,1,MS,1
186.000000,1,MS,2
186.000000,1,MS,3
186.000000,1,MS,4
186.000000,1,MS,5
186.000000,1,MS,6
187.000000,1,MS,1
187.000000,1,MS,2
187.000000,1,MS,3
187.000000,1,MS,4
187.000000,1,MS,5
187.000000,1,MS,6
188.000000,1,MS,1
188.000000,1,MS,2
188.000000,1,MS,3
188.000000,1,MS,4
188.000000,1,MS,5
188.000000,1,MS,6
189.000000,1,MS,1
189.000000,1,MS,2
189.000000,1,MS,3
189.000000,1,MS,4
189.000000,1,MS,5
189.000000,1,MS,6
190.000000,1,MS,1
190.000000,1,MS,2
190.000000,1,MS,3
190.000000,1,MS,4
190.000000,1,MS,5
190.000000,1,MS,6
191.000000,1,MS,1
191.000000,1,MS,2
191.000000,1,MS,3
191.000000,1,MS,4
191.000000,1,MS,5
191.000000,1,MS,6
192.000000,1,MS,1
192.000000,1,MS,2
192.000000,1,MS,3
192.000000,1,MS,4
192.000000,1,MS,5
192.000000,1,MS,6
193.000000,1,MS,1
