t,plant,axis,volume,Tsoil,nitrates,Conc_Nitrates_Soil
349.000000,1,MS,1.000000,15.000000,68.727706,68.727706
350.000000,1,MS,1.000000,15.000000,64.259415,64.259415
351.000000,1,MS,1.000000,15.000000,60.065569,60.065569
352.000000,1,MS,1.000000,15.000000,56.129786,56.129786
353.000000,1,MS,1.000000,15.000000,52.438341,52.438341
354.000000,1,MS,1.000000,15.000000,48.977074,48.977074
355.000000,1,MS,1.000000,15.000000,45.733693,45.733693
356.000000,1,MS,1.000000,15.000000,42.695515,42.695515
357.000000,1,MS,1.000000,15.000000,39.850881,39.850881
358.000000,1,MS,1.000000,15.000000,37.187947,37.187947
359.000000,1,MS,1.000000,15.000000,34.696103,34.696103
360.000000,1,MS,1.000000,15.000000,32.364642,32.364642
361.000000,1,MS,1.000000,15.000000,30.184188,30.184188
362.000000,1,MS,1.000000,15.000000,28.145328,28.145328
363.000000,1,MS,1.000000,15.000000,26.239591,26.239591
364.000000,1,MS,1.000000,15.000000,24.458474,24.458474
365.000000,1,MS,1.000000,15.000000,22.794450,22.794450
366.000000,1,MS,1.000000,15.000000,21.239988,21.239988
367.000000,1,MS,1.000000,15.000000,19.788154,19.788154
368.000000,1,MS,1.000000,15.000000,18.432087,18.432087
369.000000,1,MS,1.000000,15.000000,17.165787,17.165787
370.000000,1,MS,1.000000,15.000000,15.983299,15.983299
371.000000,1,MS,1.000000,15.000000,14.879409,14.879409
372.000000,1,MS,1.000000,15.000000,13.848936,13.848936
373.000000,1,MS,1.000000,15.000000,12.887280,12.887280
374.000000,1,MS,1.000000,15.000000,11.989880,11.989880
375.000000,1,MS,1.000000,15.000000,11.152740,11.152740
376.000000,1,MS,1.000000,15.000000,10.371895,10.371895
377.000000,1,MS,1.000000,15.000000,9.643862,9.643862
378.000000,1,MS,1.000000,15.000000,8.965185,8.965185
379.000000,1,MS,1.000000,15.000000,8.332819,8.332819
380.000000,1,MS,1.000000,15.000000,7.743740,7.743740
381.000000,1,MS,1.000000,15.000000,7.195308,7.195308
382.000000,1,MS,1.000000,15.000000,6.684889,6.684889
383.000000,1,MS,1.000000,15.000000,6.210025,6.210025
384.000000,1,MS,1.000000,15.000000,5.768295,5.768295
385.000000,1,MS,1.000000,15.000000,5.357456,5.357456
386.000000,1,MS,1.000000,15.000000,4.975321,4.975321
387.000000,1,MS,1.000000,15.000000,4.620020,4.620020
388.000000,1,MS,1.000000,15.000000,4.289713,4.289713
389.000000,1,MS,1.000000,15.000000,3.982752,3.982752
390.000000,1,MS,1.000000,15.000000,3.697524,3.697524
391.000000,1,MS,1.000000,15.000000,3.432558,3.432558
392.000000,1,MS,1.000000,15.000000,3.186418,3.186418
393.000000,1,MS,1.000000,15.000000,2.957830,2.957830
394.000000,1,MS,1.000000,15.000000,2.745549,2.745549
395.000000,1,MS,1.000000,15.000000,2.548473,2.548473
396.000000,1,MS,1.000000,15.000000,2.365526,2.365526
397.000000,1,MS,1.000000,15.000000,2.195749,2.195749
398.000000,1,MS,1.000000,15.000000,2.038206,2.038206
399.000000,1,MS,1.000000,15.000000,1.892064,1.892064
400.000000,1,MS,1.000000,15.000000,1.756510,1.756510
401.000000,1,MS,1.000000,15.000000,1.630823,1.630823
402.000000,1,MS,1.000000,15.000000,1.514300,1.514300
403.000000,1,MS,1.000000,15.000000,1.406318,1.406318
404.000000,1,MS,1.000000,15.000000,1.306271,1.306271
405.000000,1,MS,1.000000,15.000000,1.213615,1.213615
406.000000,1,MS,1.000000,15.000000,1.127819,1.127819
407.000000,1,MS,1.000000,15.000000,1.048409,1.048409
408.000000,1,MS,1.000000,15.000000,0.974921,0.974921
409.000000,1,MS,1.000000,15.000000,0.906943,0.906943
410.000000,1,MS,1.000000,15.000000,0.844076,0.844076
411.000000,1,MS,1.000000,15.000000,0.785953,0.785953
412.000000,1,MS,1.000000,15.000000,0.732221,0.732221
413.000000,1,MS,1.000000,15.000000,0.682563,0.682563
414.000000,1,MS,1.000000,15.000000,0.636673,0.636673
415.000000,1,MS,1.000000,15.000000,0.594271,0.594271
416.000000,1,MS,1.000000,15.000000,0.555090,0.555090
417.000000,1,MS,1.000000,15.000000,0.518894,0.518894
418.000000,1,MS,1.000000,15.000000,0.485454,0.485454
419.000000,1,MS,1.000000,15.000000,0.454565,0.454565
420.000000,1,MS,1.000000,15.000000,0.426030,0.426030
421.000000,1,MS,1.000000,15.000000,0.399677,0.399677
422.000000,1,MS,1.000000,15.000000,0.375334,0.375334
423.000000,1,MS,1.000000,15.000000,0.352855,0.352855
424.000000,1,MS,1.000000,15.000000,0.332095,0.332095
425.000000,1,MS,1.000000,15.000000,0.312929,0.312929
426.000000,1,MS,1.000000,15.000000,0.295237,0.295237
427.000000,1,MS,1.000000,15.000000,0.278911,0.278911
428.000000,1,MS,1.000000,15.000000,0.263849,0.263849
429.000000,1,MS,1.000000,15.000000,0.249957,0.249957
430.000000,1,MS,1.000000,15.000000,0.237145,0.237145
431.000000,1,MS,1.000000,15.000000,0.225333,0.225333
432.000000,1,MS,1.000000,15.000000,0.214443,0.214443
433.000000,1,MS,1.000000,15.000000,0.204408,0.204408
434.000000,1,MS,1.000000,15.000000,0.195161,0.195161
435.000000,1,MS,1.000000,15.000000,0.186646,0.186646
436.000000,1,MS,1.000000,15.000000,0.178804,0.178804
